event	original_media_url	local_asset	capture_result
Korean Re-unification Dictionary	http://image.yes24.com/momo/TopCate51/MidCate10/5095494.jpg	/assets/timeline/reunification-dictionary.jpg	exact media captured
Reah Empower Conference 2007	https://www.reah.org/wp-content/uploads/2016/11/logo.png	/assets/timeline/reah-logo.png	exact media captured
Volunteer Meetings	https://images.squarespace-cdn.com/content/v1/5f61761af2cdd54a05d788de/1600406034996-E43BIS1MLJ3B3Y98WDHC/ke17ZwdGBToddI8pDm48kI9Rf6uAhXvsQasA_7PbYaNZw-zPPgdn4jUwVcJE1ZvWQUxwkmyExglNqGp0IvTJZUJFbgE-7XRK3dMEBRBhUpznejjcjV2hTPwI7J7JFjdE66iejExDHol9J30707mNvM27PZGuegnywbq71ilt5L8/PBI+%EC%B0%BD%EB%A6%BD%EB%A9%A4%EB%B2%84.jpg?format=750w	/assets/timeline/volunteer-meetings.webp	exact media captured
PBI is formed	https://images.squarespace-cdn.com/content/v1/5f61761af2cdd54a05d788de/1600389910978-2YF849OJKEVGRCQ5PL5H/ke17ZwdGBToddI8pDm48kJ0UxNfI1P5WjWUW0GgL9JJZw-zPPgdn4jUwVcJE1ZvWhcwhEtWJXoshNdA9f1qD7Xj1nVWs2aaTtWBneO2WM-sAhW6wYTqijyGAWJXNqri5XYL4dyWYlUnbsqghPRlsEg/photo_profkim.jpg	/assets/timeline/professor-kim.webp	exact media captured
NET Bible license	https://netbible.com/wp-content/uploads/2019/07/bible-home.png	/assets/timeline/net-bible.jpg	original returned 404; local Bible photograph used
Book of John published	https://image.kyobobook.co.kr/images/book/xlarge/008/x9788936510008.jpg	/assets/timeline/book-of-john.jpg	original host did not resolve; same publication cover used
NLT license	https://encrypted-tbn0.gstatic.com/images?q=tbn%3AANd9GcR-qpWNQgFS5ayHbulSEu2NL3oZZPswTBo_Jw&usqp=CAU	/assets/timeline/tyndale.jpg	original returned 404; PBI New Testament cover used
New Testament published	https://files.logoscdn.com/v1/assets/2311981/optimized?w=250	/assets/timeline/new-testament.jpg	exact media captured
Prof. Kim passes away	https://images.squarespace-cdn.com/content/v1/5f61761af2cdd54a05d788de/1601012603174-9H8XWKIOVZDFE0IKK6PF/ProfAndMrsKim.jpg?format=750w	/assets/timeline/prof-and-mrs-kim.webp	exact media captured
NLTNK published in YouVersion	https://images.squarespace-cdn.com/content/v1/5f61761af2cdd54a05d788de/bfbe12c1-8789-4ad1-bc8d-e78c9d15f3da/YouVersion+Bible+Icon.png?format=100w	/assets/timeline/youversion-bible-icon.webp	exact media captured
