Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Headline,Text,Media,Media Credit,Media Caption,Media Thumbnail,Type,Group,Background
,,,,,,,,,Notable Events in Our History,,,,,,,,
2006,10,9,,2006,10,9,,,Prof. Hyunsik (Taeyoung) Kim publishes Korean Re-unification Dictionary,"After detecting to South Korea in 1993 professor Kim begins work on a dictionary detailing different words between North and South Korea. In North Korea, Taeyoung Kim had been serving as a liguistics professor for 38 year until he defected to South Korea and changed his name to Hyunsik Kim and also adopted a pen name 정종남.",http://image.yes24.com/momo/TopCate51/MidCate10/5095494.jpg,,,,,,
2007,5,,,2007,5,,,,"Reah Empower Conference 2007, Wheaton, Illinois",Hyunsik Kim asks for volunteers to help in his translation work. Empower conference attendees pray for Kim.,https://www.reah.org/wp-content/uploads/2016/11/logo.png,,,,,,
2007,11,29,,2007,11,29,,,"Volunteer Meetings in Chicago, Southern California, and Virginia","Professor Kim visits Chicago to meet with volunteers. Jamie Kim of Reah hosts Professor, Mrs Kim, and handful of people in his home in Pasadena on November 29, 2007. Reah and Sarang church volunteers organize a two-day workshop on January 18-19, 2018 in El Monte, CA. This is followed by further meetings in Virginia, PBI headquarter.",https://images.squarespace-cdn.com/content/v1/5f61761af2cdd54a05d788de/1600406034996-E43BIS1MLJ3B3Y98WDHC/ke17ZwdGBToddI8pDm48kI9Rf6uAhXvsQasA_7PbYaNZw-zPPgdn4jUwVcJE1ZvWQUxwkmyExglNqGp0IvTJZUJFbgE-7XRK3dMEBRBhUpznejjcjV2hTPwI7J7JFjdE66iejExDHol9J30707mNvM27PZGuegnywbq71ilt5L8/PBI+%EC%B0%BD%EB%A6%BD%EB%A9%A4%EB%B2%84.jpg?format=750w,,,,,,
2008,12,,,2008,12,,,,Pyongyang Bible Institute Inc is formed,"Pyongyang Bible Institute is officially formed and registers as 501(c)(3) non-profit in Fairfax, Virginia",https://images.squarespace-cdn.com/content/v1/5f61761af2cdd54a05d788de/1600389910978-2YF849OJKEVGRCQ5PL5H/ke17ZwdGBToddI8pDm48kJ0UxNfI1P5WjWUW0GgL9JJZw-zPPgdn4jUwVcJE1ZvWhcwhEtWJXoshNdA9f1qD7Xj1nVWs2aaTtWBneO2WM-sAhW6wYTqijyGAWJXNqri5XYL4dyWYlUnbsqghPRlsEg/photo_profkim.jpg,,,,,,
2011,2,25,,2011,2,25,,,License agreement for use of New English Translation Bible,PBI forms license agreement for use of New English Translation (NET) English Bible with Biblical Studies Press LLC.,https://netbible.com/wp-content/uploads/2019/07/bible-home.png,,,,,,
2013,10,23,,2013,10,23,,,God's Promise: Book of John published,PBI in partnership with Hongsungsa publishes its first Bible: Gospel of John in English-Korean Bilingual format. This work features Gospel of John in New English Translation (NET) translated to North Korean.,https://image.kyobobook.co.kr/images/book/xlarge/008/x9788936510008.jpg,,,,,,
2013,9,17,,2013,9,17,,,License agreement for use of New Living Translation Bible,PBI forms license agreement for translation and use of New Living Translation (NLT) English Bible with Tyndale House Publishers. Translation of NLT New Testament to North Korean begins.,https://encrypted-tbn0.gstatic.com/images?q=tbn%3AANd9GcR-qpWNQgFS5ayHbulSEu2NL3oZZPswTBo_Jw&usqp=CAU,,,,,,
2017,8,28,,2017,8,28,,,God's Promise: New Testament published,PBI in partnership with Hongsungsa publishes New Testament in English-Korean Bilingual format. This work features New Testament in New Living Translation (NLT) translated to North Korean.,https://files.logoscdn.com/v1/assets/2311981/optimized?w=250,,,,,,
2019,8,22,,2019,8,22,,,"Prof. Kim passes away on August 8, 2019 at age of 87",Prof. Kim returns to his heavenly home after having faithfully completed the New Testament translation of New Living Translation (NLT) Bible in modern North Korean diction. Mrs. Kim continues to direct a group of volunteers at PBI honoring Prof. Kim's wish to see the entire Bible translated.,https://images.squarespace-cdn.com/content/v1/5f61761af2cdd54a05d788de/1601012603174-9H8XWKIOVZDFE0IKK6PF/ProfAndMrsKim.jpg?format=750w,,,,,,
2022,11,9,,2022,11,9,,,Digital version published in YouVersion Bible app,"In partnership with Tyndale, YouVersion, and Digital Bible Library, PBI publishes digital version as a new Korean translation, NLTNK, in Bible app.",https://images.squarespace-cdn.com/content/v1/5f61761af2cdd54a05d788de/bfbe12c1-8789-4ad1-bc8d-e78c9d15f3da/YouVersion+Bible+Icon.png?format=100w,,,,,,
